id,created_at,full_text
1588483708390178816,Fri Nov 04 10:50:03 +0000 2022,IndiGo Could Resume Services To China And Myanmar In 2023 https://t.co/zA3kDP47VQ
1588483704657412097,Fri Nov 04 10:50:02 +0000 2022,"On 2nd #November2022 the #HuaweiPocketS mobile was launched in #China. Check the Huawei Pocket S features and #specifications 

@HuaweiIndia @Huawei

#trends #trending #Huawei #HuaweiFacts #HuaweiNews #live #Specifications #November 

https://t.co/4UI3hPIGbq"
1588483698407931904,Fri Nov 04 10:50:00 +0000 2022,@AOC Love them 58 dollar sweatshirts.Where in China did you buy them?
1588483695396241409,Fri Nov 04 10:50:00 +0000 2022,German Chancellor Olaf Scholz arrived in Beijing for a one-day visit that has drawn criticism over China's tacit support for Russia in its war on Ukraine and lingering controversy over economic and human rights issues. https://t.co/jxhRi9NukN
1588483687855054854,Fri Nov 04 10:49:58 +0000 2022,@VP When will you realize bring dependent on China for renewables is a National Security risk? You’re worse then Biden. He’s 80 so what's your excuse.
1588483679982321664,Fri Nov 04 10:49:56 +0000 2022,"#China agreed to ap­prove @BioNTech_Group @pfizer #Covid19 vaccines for for­eign res­i­dents in China, #Germany Chan­cel­lor Olaf Scholz said in news con­fer­ence in Bei­jing Fri­day, af­ter he met Chinese leader Xi Jin­ping via @WSJ https://t.co/0jeaqe6bY3"
1588483678493380608,Fri Nov 04 10:49:56 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/Q65eJhXHyp"
1588483675360198657,Fri Nov 04 10:49:55 +0000 2022,"China Envoy Denies US Claim of Faster Timeline for Taking Taiwan

https://t.co/NeHkbPWuG3"
1588483665977544704,Fri Nov 04 10:49:53 +0000 2022,@CoyotesfanG @joepatch52 @SamVan81 @WPS4Life @ProudElephantUS @POTUS It was to go to China.
1588483662836006914,Fri Nov 04 10:49:52 +0000 2022,"@destinygroove @Liz_Cheney Let’s be clear Biden is the One,whom abandoned Afghanistan and every bits of Americans military weapons and helicopters and fighting stuffs are left behind for the Talibans, whom sold those $85 Billions weapons to Russia. _China and Other countries !"
1588483656276152320,Fri Nov 04 10:49:50 +0000 2022,"..fr the explanation on #Germany's/#Europe's relationship w #China by #Scholz it also becomes clear what he does not realize or does not take in2 account. 

Lack of knowledge of the very NATURE (incl history of course) of the #CCP clearly is the problem. As feared../2"
1588483653252050946,Fri Nov 04 10:49:50 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/LaBIwpO1nu"
1588483651591102464,Fri Nov 04 10:49:49 +0000 2022,"@ClareDalyMEP Its the US is the problem, Russia not the one that started this lot, its like Iraq, Syria, Libya, Yugoslavia, Afghanistan,Vietnamese, Chile, etc etc   there now turning attention to China and starting there propaganda wars there"
1588483642874949632,Fri Nov 04 10:49:47 +0000 2022,"...when you're hoping mum doesn't find out you've been doing science with the 'good' china.... 

#sciencejokes #cwfunny #fridayfunny #cwjokes https://t.co/tioK0ZvK0p"
1588483641315037184,Fri Nov 04 10:49:47 +0000 2022,@BrooklynNets WILL THE NETS AND THE NBA SPEAK OUT AGAINST THE GENOCIDE OF THE UGHER MUSLIM GENOCIDE IN CHINA???? FN CLOWNS!!! FAKE OUTRAGE!!!
1588483630959329282,Fri Nov 04 10:49:44 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/0YXS7BRARY"
1588483630011396100,Fri Nov 04 10:49:44 +0000 2022,@leadlagreport It’s mostly due to China rallying due to discussions about relaxing their “zero-COVID” policy
1588483619730907136,Fri Nov 04 10:49:42 +0000 2022,White Paper: China's BeiDou Reaches World-Class Level | Article | China Daily https://t.co/4BIMNw4xos
1588483610289786880,Fri Nov 04 10:49:39 +0000 2022,"China Envoy Denies US Claim of Faster Timeline for Taking Taiwan

https://t.co/edZ0uYBabR"
1588483609408983040,Fri Nov 04 10:49:39 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/2FPfUXqKUM"
1588483607735455745,Fri Nov 04 10:49:39 +0000 2022,"@Sephiro02083354 @xtr0py @FallingWaterz @DIY_NikolaTesla @aenomalus @IamCelineMarie @Nikolaj_Nobody @Christi94539879 @Ladyliberty993 @WayofK1ngs @khirinknight @ChariotPrince @JeremyDHawkins @jackjack6767655 @MercyMacabre @AlwayzDazed @HvassVon @CicadaMk @_n_Jack @CueTeam17 @knux007 @mkfawkes2 @Edibal2 @christianitycom @JoyceMeyer @vcopeland @able2know @facebook @neffex @CIA @china @jacindaardern @POTUS @JoeBiden I used that pattern to demonstrate the idea but the flower of life can demonstrate literally any idea.
All possible timelines for all possible universes can be represented as a 10-dimensional singularity, what else is there, other than U(11) &amp; I(12) https://t.co/e11KA2Rw8j"
1588483604103024641,Fri Nov 04 10:49:38 +0000 2022,"@ArtyomLukin No one thinks it will ne contained to tactical weapons, it will almost immediatly go strategic and US doctrine cLls dor launcing everying  st all targets. China will be hit."
1588483603834769408,Fri Nov 04 10:49:38 +0000 2022,"@CIA_in_China @JiethomasJeff Mentally typed this out almost literally verbatim before I opened replies and saw this 😂

Great minds…"
1588483594766647297,Fri Nov 04 10:49:36 +0000 2022,"@FSWarraich sir please verify,
Related to your today vlog about china. https://t.co/IFGMkwX8J4"
1588483588890263553,Fri Nov 04 10:49:34 +0000 2022,@RJ_Macnaughton @Mariusj001 @ConservaWonk @davidpgoldman @robert_spalding Sure. China is a totally benign innocent country. Sure.
1588483587934154753,Fri Nov 04 10:49:34 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/oyr5kMmEC0"
1588483580530860032,Fri Nov 04 10:49:32 +0000 2022,@seasylvia2005 @CampsNP @MelisCattish @kenjaques What my point is that the next pandemic under Dems -COULD- be China style.
1588483577167384576,Fri Nov 04 10:49:32 +0000 2022,@Aowenxx Yeah not at all a bad idea to let china control your comms infrastructure. What could go wrong 🤷🏽‍♂️
1588483566773899264,Fri Nov 04 10:49:29 +0000 2022,"African countries trapped in debt circle as China applies brakes in lending

https://t.co/1aNmoveRDv"
1588483565574320128,Fri Nov 04 10:49:29 +0000 2022,"@RobbieBarwick @CitizensPartyAU How do you sleep at night, Robert?"
1588483561564291074,Fri Nov 04 10:49:28 +0000 2022,"@leadlagreport I picked up PBR awhile ago and for no reason I can see it started moving in PM yesterday.

Since it got sold off as part of EM indexs on the China thing it's gone down or sideways, until after market last night."
1588483557235777536,Fri Nov 04 10:49:27 +0000 2022,"@BernieSpofforth Yup. But I mean come on, what is the poor old girl supposed do. She is completely beholdant to Xi. China won't  lets it's  rich people bug out to kiwi town if there are dangerous ideas floating around down there."
1588483552471285760,Fri Nov 04 10:49:26 +0000 2022,"@aartirohra9 @Deepaksha320 @Twinkleinvest Still watching the China stocks, ATXG gonna have to make a come back, the beat down was brutal. Waiting for GFAI and TCDA to erupt, and MULN for EV and ACVT tech hopefully a buyout in the near future."
1588483548457193480,Fri Nov 04 10:49:25 +0000 2022,"In his most direct criticism of Vladimir Putin so far, Chinese leader Xi Jinping had warned the Russian president not to use nuclear weapons in Ukraine. 

He also called on German Chancellor Olaf Scholz, who's currently in Beijing, to push for peace talks.
https://t.co/tbwWvzeUzw"
