id,created_at,full_text
1588474498441179137,Fri Nov 04 10:13:27 +0000 2022,"[Spotify]

@_IUofficial on Spotify Daily Top Artists Chart (11/02)

🇰🇷#9 Korea
🇹🇼#30 Taiwan
🇸🇬#56 Singapore
🇭🇰#59 Hong Kong
🇲🇾#85 Malaysia
🇹🇭#98 Thailand
🇵🇭#110 Philippines
🇯🇵#160 Japan
🇻🇳#170 Vietnam
🇮🇩#176 Indonesia

#아이유 #LeeJiEun #IU

https://t.co/iwbDq0hUB0"
1588474469315641344,Fri Nov 04 10:13:20 +0000 2022,"""In Bid to Show It Is Open, Hong Kong Bends Covid Rules … for Some"" by Alexandra Stevenson and Tiffany May via NYT https://t.co/PZ4OELYCBE"
1588474441285222400,Fri Nov 04 10:13:13 +0000 2022,Monetary Authority announces countercyclical capital buffer ratio for Hong Kong https://t.co/pEAPv6ezMV
1588474298557239296,Fri Nov 04 10:12:39 +0000 2022,Hong Kong’s Hang Seng Index rises more than 5% after heavy buying of Chinese stocks in a variety of sectors https://t.co/XsKvg6HD2Q
1588474284129026048,Fri Nov 04 10:12:36 +0000 2022,"@Julianawoods119 Hey, Lisa, Did you have a Brain Freeze or What? Or you were Just Full of Shit &amp; Lies? Praytell!
Let's See I don't think your From Hong Kong at All! I think I'll find you Working 4 the Biden Regime! Put your Big Boy Pants on &amp; Come See Me in Oklahoma if You Dare! https://t.co/BYUshfMMMz"
1588473875544899586,Fri Nov 04 10:10:59 +0000 2022,Hong Kong shares soar over 7% https://t.co/7YpjZoUWgk https://t.co/tznjzZgpbS
1588473829541781506,Fri Nov 04 10:10:48 +0000 2022,"4 Hong Kong men jailed up to 2 years and 10 months over attack on lawyer at security law protest 

https://t.co/tplaKnVzdX https://t.co/iXw263w3CB"
1588473807014363136,Fri Nov 04 10:10:42 +0000 2022,"""Together, Restart from Heart"" Tithe Ethical Consumption Movement 2022 - Shopping Rewards Scheme, Pop-up Store, Workshop Support social enterprise with consumption. Read on: https://t.co/mVuXhKHJqr

#RestartFromHeart #EthicalConsumption  #HongKong"
1588473790434267136,Fri Nov 04 10:10:38 +0000 2022,"Berkshire sold 3.297mil BYD shares at an avg of HK$169.87 per share on Nov 1, cashing out HK$560 million and reducing its stake to 17.92%, according to a Hong Kong Stock Exchange filing. This is the third time Warren Buffett's company has cut its holdings in BYD. $TSLA"
1588473736172273664,Fri Nov 04 10:10:25 +0000 2022,HK COVID Caseload Falls To 4.5K As 11 More Die | Hong Kong | China Daily https://t.co/lfYGZT7EwZ
