id,created_at,full_text
1589467220941606913,Mon Nov 07 03:58:11 +0000 2022,"@COP27P I trust you will be demanding 54% of that funding comes from #China?
#CCPChina #PRC 

@GBNEWS @MarkSteynOnline @thecoastguy https://t.co/JbCHCkJovf"
1589467215522582529,Mon Nov 07 03:58:09 +0000 2022,"'Even amidst a campaign to become “self-reliant”, India’s trade deficit with China has soared. And its dependence on China for electronic parts has grown particularly deep.'

Why India can't kick its addiction to Chinese electronics
https://t.co/ioIaOf9stt"
1589467214981509120,Mon Nov 07 03:58:09 +0000 2022,"In 1933, the newspaper Star Daily conducted China’s first public poll for the most popular movie stars with “Butterfly” Wu as the runaway winner. The perfect opportunity to further monetize her fame with the launch of the Miss Butterfly cigarette brand, expand the... 9/13 https://t.co/9pCiIbViZ2"
1589467210141298689,Mon Nov 07 03:58:08 +0000 2022,"@Josh_Young_1 The oil pullback is large due to China today having the most Covid cases since last May, a whopping 5,400, and this number is not a typo. At this rate and with their current Covid policy, China will open up possibly by 2030, absolutely crazy."
1589467207712374784,Mon Nov 07 03:58:07 +0000 2022,@MikeNaigIA @RobySmithIA @IowaGOP @KimReynoldsIA Roby say it ain't so. You were featured in an @theintercept article on @LS2group @BrennaBird corruption for ChiComs??? https://t.co/1rImbsaj3a https://t.co/kDDofashl2
1589467200494395392,Mon Nov 07 03:58:06 +0000 2022,"@OppenheimAviel @MichaelOHogan1 @BlairStetler This is why I framed my argument around the moral and trade differences, because I think that is a major component not being considered (going all the way back to WTO admitting China)."
1589467188284780544,Mon Nov 07 03:58:03 +0000 2022,Patra University launching degree programs in China https://t.co/ie8oTLM17i https://t.co/EPwHN8oQc1
1589467185566855168,Mon Nov 07 03:58:02 +0000 2022,"@chineseciv China, as a 5000 yo-old polity, is not real. Only the ppl and the land are real; dynasties come and go."
1589467178423967745,Mon Nov 07 03:58:00 +0000 2022,@drboycewatkins1 Is that LeBron thinking “I hope this doesn’t hurt my Nike profits.  Thank God there are no orthodox enslaved in China”
1589467176926605312,Mon Nov 07 03:58:00 +0000 2022,@FionaPattenMLC @AdemSomyurek Criticising Women to have the Right to own and do what they wish with Their Body??? Socialistic State like China???
1589467176498778119,Mon Nov 07 03:58:00 +0000 2022,iPhone 14 Pro and Pro Max shipments are affected by Covid restrictions in China https://t.co/dho4RqUYK7
1589467175999315968,Mon Nov 07 03:58:00 +0000 2022,"With the #AirshowChina2022 to kick off on Tuesday in Zhuhai, South China's Guangdong Province, top equipment for air, sea &amp; space plus flight performances are ready to reflect Chinese achievements. https://t.co/CboaGd9GDp"
1589467171021008897,Mon Nov 07 03:57:59 +0000 2022,"Foh Chong Tobacco was founded in 1926 by the notorious Shanghai tycoon Huang Chujiu, who went from quacksalver to founder of among other the Great Eastern Dispensary, the Great World entertainment center, the Day &amp; Night Bank (open 24h) &amp; the China Film Company 中华电影公司. 5/13 https://t.co/kQbRXcWT5Y"
1589467165811675136,Mon Nov 07 03:57:57 +0000 2022,Frances Grote Cecil Silas #原味 Helen Young #China Nicholas Boyle https://t.co/mLvYufdGi7
1589467158782021633,Mon Nov 07 03:57:56 +0000 2022,"While Hu Die, a beauty icon famous for her signature dimples, already had long standing endorsement deals with LUX soap, Sincere Perfumes and the tailor shop Hong Zang, this was the first time that a cigarette brand was registered in China under an actual person’s name. 4/13 https://t.co/fNKqGK9GGl"
1589467144970211329,Mon Nov 07 03:57:52 +0000 2022,"@Swamy39 But, why are you so happy, @Swamy39 ji if China says things like that? “विरोध के लिए विरोध” is an ultimate disease of all who oppose Modi! Is it necessary? Does it make you more relevant? There is no way out of this sadistic attitude? Totally undesirable!"
1589467144449757184,Mon Nov 07 03:57:52 +0000 2022,"A new peak was reached in 1933 when China’s most popular actress Hu Die(胡蝶 aka “Butterfly” Wu, launched a new brand in cooperation with Foh Chong Tobacco 福昌烟公司: Miss Butterfly 胡蝶女士 with the catchy tagline “Tobacco King of 1933 meets Movie Queen of 1933” 3/13 https://t.co/SiKx5ePHvv"
1589467141367074818,Mon Nov 07 03:57:52 +0000 2022,"We will launch a South American Paraguay Immigration Project from Hong Kong to save Hong Kong citizens!
In South America's only paraguay, which has diplomatic relations with Taiwan, not in China, there is already a large Taiwanese community"
1589467140440133634,Mon Nov 07 03:57:51 +0000 2022,#Afghanistan Apple: iPhone shipments delayed over China Covid lockdown https://t.co/3fjlH0kx2p #Afghanistan
1589467140129976324,Mon Nov 07 03:57:51 +0000 2022,"#China's dollar-denominated export, imports contract in October, missing expectations
#oil #lng #oott #ongt https://t.co/F7eQH5gSiZ"
1589467135151308801,Mon Nov 07 03:57:50 +0000 2022,"@CitehSide @kunsbannedhair @NA1907_ Remember how Muslims are treated in Israel, in India, occasionally in US, Uk, quite pathetically in France, Austria, China etc etc."
1589467119342989312,Mon Nov 07 03:57:46 +0000 2022,@business China sucks and so does Xi
1589467105401122817,Mon Nov 07 03:57:43 +0000 2022,"which brought the proletariat to power*

and which still holds power in China today*"
1589467104188981248,Mon Nov 07 03:57:43 +0000 2022,@dufrianord @ScarletTears3 @HoangHiep1998 Ahh ok. At first I thought it was just China finally corrupting the Russian culture and people wanting to be more Asian knowing full well that China is getting an iron grip on Russia... Went to conclusion too fast.
1589467090821713920,Mon Nov 07 03:57:39 +0000 2022,@Bergermeister23 People dropping dead on the street in China....
1589467088988561409,Mon Nov 07 03:57:39 +0000 2022,"iPhone Supplies Drop Due to Anti-Virus Curbs in China: Apple

#iPhone #Apple #China #TechNews 

https://t.co/xpqFXJXCE4"
1589467088447737856,Mon Nov 07 03:57:39 +0000 2022,@AllenHackett2 @jimcramer Short on excuses about China and the Vid.
1589467079320948736,Mon Nov 07 03:57:37 +0000 2022,"@ENCH01AUS O produce china (tem as moças do wjsn 
O chuang 2019 (masc
O chuang 2020 (tem wquela mina do kepler
Youth with you (masc
Youth with you 2 (fem (Tem a lisa do bp 
Youth with you 3 (masc"
1589467074493308928,Mon Nov 07 03:57:36 +0000 2022,"See some highlights of the fifth China International Import Expo (CIIE), the world's first import-themed national-level expo. #CIIE2022 #China https://t.co/jc94G2tglX"
1589467061633576961,Mon Nov 07 03:57:33 +0000 2022,The mother committed suicide due to #COVID quarantine. The daughter tried to stop her mother but government #COVID workers refused to let her see her mother or open the sealed doors. Tales of human tragedy are amounting inside Zero #COVID #China. This is a leaked recording. https://t.co/NkJkHj1KNB
