id,created_at,full_text
1588583773792530432,Fri Nov 04 17:27:40 +0000 2022,"BBC News - Scholz asks China to press Russia to end its war
https://t.co/sGM7sgmOwU"
1588583772756512768,Fri Nov 04 17:27:40 +0000 2022,"@Darkpoolart @defiisthelife @WholeMarsBlog Autopilot is getting there, though, and there will be huge processing power coming online to develop it faster. My Tesla isn't that bad and (ironically) the ones made in China don't appear to have quality issues..."
1588583772286767104,Fri Nov 04 17:27:40 +0000 2022,@GBNEWS We have the most dangerous situation facing the country with illegal immigration and yet you want to attend with thousands of jets flying their grandstanding owners for a jolly. Will China pay any attention?  You are consigned to History.
1588583759313797122,Fri Nov 04 17:27:37 +0000 2022,@berlin_bridge @apmassaro3 What do you make of the oft repeated and ever louder take that Germany and China in particular are hurtling towards devastating industrial collapse amid global reordering?
1588583747305107457,Fri Nov 04 17:27:34 +0000 2022,"@slim_mirokujin @phantomgirl3 @JCAKE12 @greg_price11 Partly true yes, but you are being dishonest, blatantly ignorant or show your own personal prejudices.

Communism = left/ progressive https://t.co/Pbbu4Z19qE

Biggest genocides in history and still continuing as in China with Uygers

Hint:
Being Balanced &amp; informed shows honesty https://t.co/ynTlCy8x9h"
1588583736178016257,Fri Nov 04 17:27:31 +0000 2022,"@menalime8 @RaskolnTavor @SpokespersonCHN China nows who is the real,enemy https://t.co/cy2QErBjkZ"
1588583736089903105,Fri Nov 04 17:27:31 +0000 2022,@WIONews @MollyGambhir China is making troubles through the hands of N.Korea
1588583734248632320,Fri Nov 04 17:27:31 +0000 2022,@luxtempo @TribelSocial I thought Tribel was coming out of China like Zoom.
1588583734067986432,Fri Nov 04 17:27:31 +0000 2022,"How China's Private Business is Responding to Xi Jinping's State Capitalism

@Lingling_Wei speaks with @dindaelliott1 at our ""Critical Issues Confronting China"" series next week. 

🗓 11.8.22
⏰ 12 PM ET
📍 CGIS South, S020/Zoom

https://t.co/fIDhzV3wMC https://t.co/dlPLmoZRE6"
1588583728108175360,Fri Nov 04 17:27:29 +0000 2022,"@christi2084 @Timesofgaza You should thank g-d that Israel is not Russia, China, Iran, etc.. of there would be no more Gaza (or ""west bank""). STOP THE HAMAS &amp; Islamic Jihad TERRORISM so there can be peace!!!"
1588583722655576066,Fri Nov 04 17:27:28 +0000 2022,"@Dariusz19015 @Blackkratos318 @bennyjohnson @elonmusk Since when was Beaverton, Oregon part of China?
https://t.co/RVWekt6oMg"
1588583720348692480,Fri Nov 04 17:27:28 +0000 2022,@_mm85 @garyblack00 was very keen long Tesla short China EV.
1588583707451039744,Fri Nov 04 17:27:24 +0000 2022,Unboxing #Needtek #Laminator for Laminating #Bitcoin #Crypto #PaperWallet A4 F4 cheap only $ 17 Made in China #ElSalvador #SouthAmerica
1588583705739939841,Fri Nov 04 17:27:24 +0000 2022,"@Ibr8k4hoops @keighron_s The threat to the Democrats Socialist Democracyvis over, and they know it. That's why they plan to implement the Venezuelan, China, North Korea, Brazil type of Democratic (?) elections."
1588583705710235648,Fri Nov 04 17:27:24 +0000 2022,@buffalo_china @JohnFina Arby’s? I could never! 😂
1588583696952877056,Fri Nov 04 17:27:22 +0000 2022,"@robert_spalding Spot on. Complacency and greed by politicians, Wall Street, and corporations. The China threat was obvious for years but $$ was too good. No time in modern history has a number two power peacefully passed the number one power without conflict, especially if it’s non democratic."
1588583696554422273,Fri Nov 04 17:27:22 +0000 2022,@matthew_miskin @FactSet $BABA is up 10% today but I would caution investors on emerging market China equities especially mega-cap tech that is facing strong China and U.S. regulatory scrutiny and crackdown
1588583695409369089,Fri Nov 04 17:27:22 +0000 2022,@thehill I think China may have something  to say about that.
1588583695178342400,Fri Nov 04 17:27:22 +0000 2022,"Collectable Curios' item of the day... Vintage Dominion China Ltd Wings Upon The Wind, Winter Home Decorative Plate
https://t.co/aCpViJ6QSe
#VintageDominionChinaLtdWingsUponTheWindWinterHomeDecorativePlate
#VintageDominionChinaLtd #WingsUponTheWind #WinterHome #DecorativePlate https://t.co/iukh8D231R"
1588583691227303938,Fri Nov 04 17:27:21 +0000 2022,"@EndalkachewMen5 @Timesofgaza You should thank g-d that Israel is not Russia, China, Iran, etc.. of there would be no more Gaza (or ""west bank""). STOP THE HAMAS &amp; Islamic Jihad TERRORISM so there can be peace!!!"
1588583689155317760,Fri Nov 04 17:27:20 +0000 2022,Destroying our ability to control the most important product in the world. brilliant but they laughed. Then he tried to get governmentnot Defense department to disallow China from building so many military parts  for us- our enemies-they turned him down. Biden was taking credit
1588583685418123264,Fri Nov 04 17:27:19 +0000 2022,"Basically a Chinese tech company now. Speaking of, if Elon opens up a Twitter eng office in China, I'm sure he'll get everything he wants :) https://t.co/ImSLZlysJr"
1588583678833487872,Fri Nov 04 17:27:18 +0000 2022,@elonmusk Ohh you forgot....China!!!
1588583672449728513,Fri Nov 04 17:27:16 +0000 2022,"UK Market Close: Stocks rise on US payrolls, China reopening reports"
1588583662445944832,Fri Nov 04 17:27:14 +0000 2022,"@RishiSunak Massive tax hikes

Massive Job losses

All to reduce our 1% contribution

While China and India ramp up

You are only using this to control the public

Through cbdc &amp; social credit

An Unelected leader, destroying the country"
1588583646730280960,Fri Nov 04 17:27:10 +0000 2022,"In NUAH we are looking for a CM / Marketing Specialist if you have the profile, please apply: 

10 - 20 USD per hour 
Remote work

Available to work in the Asian / European time zone 

People located in Africa / India / Pakistan / China / Turkey unfortunately can’t apply. https://t.co/nKdAubsivp"
1588583645845282824,Fri Nov 04 17:27:10 +0000 2022,@augustine_bep @BobbyV4Trump @POTUS So China or the US cannot hack that commuter system. That is laughable.
1588583643559010304,Fri Nov 04 17:27:09 +0000 2022,@ChrisDungeon How’s TSLA doing today boss? Elon selling or China explain the non stop selling today??? Elaborate for the sake of your cult sheep and my personal entertainment
