id,created_at,full_text
1588005763447803905,Thu Nov 03 03:10:52 +0000 2022,"The Corpse Walker: Real Life Stories: China From the Bottom Up UYBZYDU

https://t.co/400IhCjE2e https://t.co/bl4f9Xkq1K"
1588005762923732993,Thu Nov 03 03:10:52 +0000 2022,@AOC @elonmusk AOC sweatshirts are made in the USA! Elon Musk makes a lot of his money from China.
1588005755395125248,Thu Nov 03 03:10:50 +0000 2022,"@RaphMikeyTurtle @FoxNews So you think we should become a communist country? You have no clue what’s going on in China, do you?"
1588005749698985984,Thu Nov 03 03:10:49 +0000 2022,"@MichelleSteelCA This you?  Guess you have to phone bank as well, since you were called out for your mailers. https://t.co/oYAcqaHyZ0"
1588005742522646529,Thu Nov 03 03:10:47 +0000 2022,"@DrLiMengYAN1 @elonmusk Under the meticulous packaging of Bannon and Guo Wengui, Yan Limeng began to spread the new crown virus artificially on the right-wing media and websites in the United States as a new crown virus ""whistleblower"". It is an ""unrestricted organism"" released by China. Weapons"" lies."
1588005740199186432,Thu Nov 03 03:10:46 +0000 2022,"#China is refueling #Chinese warships with Indian subsidized oil  in #IndianOcean.
Why #Indian tax payers money going into ocean?? https://t.co/ALQloXcS8f"
1588005731747344385,Thu Nov 03 03:10:44 +0000 2022,"The sky fairy yuan and dew, calyx lean on cloud escape China plant."
1588005727771119617,Thu Nov 03 03:10:43 +0000 2022,"@TheEliKlein Biden just wrapped up a primetime speech six days before the election. Here are the number of times he mentioned…

Border: 0️⃣
Crime: 0️⃣
Inflation: 0️⃣
Supply chain: 0️⃣
Gas prices: 0️⃣
China: 0️⃣
Education: 0️⃣
Military: 0️⃣
Police: 0️⃣
Fentanyl: 0️⃣"
1588005726789988352,Thu Nov 03 03:10:43 +0000 2022,"@BeingBhagwa When it comes to China, any news filtering out is just doubtful. China will only let those news filter out that they want to."
1588005708448120838,Thu Nov 03 03:10:39 +0000 2022,China Stocks Rally Cut Short Amid Signs Covid Zero Here to Stay https://t.co/NSDcfuHj64
1588005706866868225,Thu Nov 03 03:10:38 +0000 2022,Iron Ore’s Slump Likely to Deepen Until China’s Economy Revives https://t.co/zGcRQG1b1Y
1588005705474347009,Thu Nov 03 03:10:38 +0000 2022,@GSocTakes Yeah I think China doesn’t even give their soldiers Kevlar vests cuz it “saps their fighting spirit”.
1588005690542637057,Thu Nov 03 03:10:35 +0000 2022,@AP I though he was to unite  us not divide us he taking the   So called  unifieder and divide us He doesn’t want to reach  a crossed the field   To unite us  He wants to conquer the USA I can see something happening around the time thay r to be sworn in like a war of China
1588005661321101315,Thu Nov 03 03:10:28 +0000 2022,"The 2023 World Athletics Relays scheduled for May 13-14 in Guangzhou, China, have been postponed to 2025, the Chinese Athletics Association (CAA) confirmed on Wednesday.
#ommcomnews
https://t.co/wUCGK2rh24"
1588005660046012417,Thu Nov 03 03:10:27 +0000 2022,"📡🚀🛰
China on Thursday completed the in-orbit transposition of its #Mengtian lab module, forming the space station's basic configuration in T shape, according to the China Manned Space Agency. https://t.co/eBPPb34VuP"
