id,created_at,full_text
1590840621979557890,Thu Nov 10 22:55:35 +0000 2022,"Help to stop the killing of dolphins and whales in Taiji, Japan! Plz sign: https://t.co/jEEMtN0B5W"
1590840607106560001,Thu Nov 10 22:55:31 +0000 2022,Hong Kong police launch arrests over Mirror concert accident https://t.co/SnceZ0Dya9
1590840604363292674,Thu Nov 10 22:55:31 +0000 2022,"“The communist Hong Kong government is vindictive, and they don’t want to lose a case, especially an NSL case.”

Standing Trial in Unjust Hong Kong

https://t.co/2HKQxl8TtR"
1590840601507160064,Thu Nov 10 22:55:30 +0000 2022,@Exusnx Bruce Lee is alive and working as an undercover  op in Hong Kong
1590840424381415425,Thu Nov 10 22:54:48 +0000 2022,"I've been asking non gamers about this photograph of ""Hong Kong"" and they all seem super impressed, surprised even then absolute shock when I tell them it is from #Cyberpunk2077. Thanks to CDPR and @AMD for making the FSR 2.1 addition to the game look this amazing. https://t.co/zQ5Je1lyjg"
1590840326260142081,Thu Nov 10 22:54:24 +0000 2022,"@BigCheds You wonder what happened if @SBF_FTX pulled this off in Hong Kong, probably disappeared and never heard of again with Chinese in charge"
1590840201290842112,Thu Nov 10 22:53:55 +0000 2022,"@FY4Chan @RazvenHK Complicated question, since depends on where is home. Like California, state federal ss medicare combined we pay like 45% in tax. Housing costs very high yet somehow, per square feet, still much less than Hong Kong. Cheaper to keep a car and but groceries more expensive."
1590840019480379392,Thu Nov 10 22:53:11 +0000 2022,"Hong Kong police launch arrests over Mirror concert accident

https://t.co/mkVMZ5J3JA"
1590839899946881024,Thu Nov 10 22:52:43 +0000 2022,My passport came today first trip “HONG KONG” 😅✊🏾
1590839897165660160,Thu Nov 10 22:52:42 +0000 2022,"@chiggi The aunts are an echo of Wodehouse’s own upbringing I think.

His parents were in Hong Kong, with young Plum left in England."
1590839832854790145,Thu Nov 10 22:52:27 +0000 2022,@darthvyder not sure! this was Mubi hong kong
1590839797727498240,Thu Nov 10 22:52:18 +0000 2022,"@joannaccherry Hong Kong and Chinese Government moving in. This was the first thing to go, it’s the start of the end of democratic freedoms. Be afraid if this has landed here, be v afraid https://t.co/84ergzXSGS"
1590839769004912640,Thu Nov 10 22:52:11 +0000 2022,"All the way from Hong Kong, I have a Fucky of my very own. 😅 He came w/ a little knife &amp; a ""Poor Guys"" box. Large, chonky figure; well made. Delightfully demented. 😍 Possibly the best toy I've bought all year.

(Thank you to TTC for informing me of Fucky's existence. 😁) https://t.co/aCLmm6v8pG https://t.co/2tPQ5LiFCM"
1590839716957794305,Thu Nov 10 22:51:59 +0000 2022,"@BrianWh83794360 @Dempz8 @Mott_Mason Hindus are also entering UK in multi 100,000’s each year. 3 million also from HongKong are on their way to UK. Last year 120,000 entered from Hong Kong so far. The country practically has no border no visa requirement. Open borders is realised now."
1590839692206874624,Thu Nov 10 22:51:53 +0000 2022,"North Korea launches Soviet-era missile. Veteran British lawyer to defend Apple Daily publisher Lai in upcoming Hong Kong national security law trial. U.S. midterm elections.

WATCH VOA Asia Weekly 📺:
https://t.co/rtW0wWof3F"
1590839680098250753,Thu Nov 10 22:51:50 +0000 2022,#Newsnight  140 thousand from Hong Kong over the last two years ... No problems processing them! Look on the Goverment site there ... no end of help! They are fleeing a repressive regime legally as others hold up in hotels! #migrants
1590839201607872512,Thu Nov 10 22:49:56 +0000 2022,"You're invited to Celebrate the Holidays with Webb in Hong Kong! Please join us on Monday, December 5 from 5:00 p.m. - 7:30 p.m. A location near Central will be determined soon. RSVP here by November 18! https://t.co/Wmd54S84rB https://t.co/M2wwgMgVW4"
1590839113980465152,Thu Nov 10 22:49:35 +0000 2022,"Actually Tenn's voice doesn't match either 🥴🤮 PLZZZ they need to hire more voice actors in Hong Kong!!

Meanwhile, Gaku's voice is quite like the original JP."
1590838909160022016,Thu Nov 10 22:48:46 +0000 2022,"From the perspective of Hong Kong's economic and financial stability and long-term development, it is necessary to consider a relatively flexible monetary system and exchange rate mechanism. https://t.co/3aOJ9GfrRd"
1590838902973116416,Thu Nov 10 22:48:45 +0000 2022,"Hong Kong police start arresting suspects over Mirror live performance accident, detaining ‘at the least 5 staff from stage contractors’ https://t.co/uZP54uQCLX"
1590838897520807936,Thu Nov 10 22:48:44 +0000 2022,While Hong Kong currently adopts the linked exchange rate mechanism and there is not much pressure to maintain the stability of its currency exchange rate
1590838895604035584,Thu Nov 10 22:48:43 +0000 2022,"As the Federal Reserve continues to hike the interest rates, the Hong Kong dollar exchange rate is also under increasing pressure."
