id,created_at,full_text
1589351297689751554,Sun Nov 06 20:17:32 +0000 2022,@BariiBean my sonas are a female totodile and a femboy piranha plant wearing Ukraine support clothing.🥰 https://t.co/O2bAxyxlKe
1589351296049754112,Sun Nov 06 20:17:32 +0000 2022,"@apmassaro3 You could incept texts from Russian soldiers. Let's get Ukraine far ahead in the war. Peace there is Putin's demise and the end of his pressure cooker tactics on us. Hell, it'll lessen global tension."
1589351288332242946,Sun Nov 06 20:17:30 +0000 2022,"@Pataramesh @Radovenski_ Perhaps missile 358? Considering some suggest Ukraine to use slow flying aircraft to shoot down Shahed's, I wonder if Missile 358's might come handy for Russia at one point."
1589351284427354114,Sun Nov 06 20:17:29 +0000 2022,"Yes, without Ukraine you would not have your proxy war with Russia. https://t.co/o4F5NSrLrt"
1589351273845096448,Sun Nov 06 20:17:27 +0000 2022,"In order for #Ukraine to agree not to seek #NATO membership, #Moscow will have to make some concessions:

▪️Withdrawal of Russian troops 250 km from the Russian-Ukrainian border;

Withdrawal of all Russian troops from #Belarus;

Withdrawal of all Russian troops from Transnistria;"
1589351266907729920,Sun Nov 06 20:17:25 +0000 2022,"▪️In exchange for the withdrawal of Russian troops from all Ukrainian territory occupied since February 24, 2022, and the cessation of military operations against #Ukraine, the West will lift all economic sanctions that it has imposed on #Russia from that date;"
1589351266731581441,Sun Nov 06 20:17:25 +0000 2022,"FYI - this person is a troll, shilling as a ""I want peace through negotiations but I only ever seem to be able to promote russian propaganda and use my twitter to attack and discredit legitimate organisations to prevent them from supporting Ukraine"".

Please block. https://t.co/6GAT6V1FQX"
1589351254849105920,Sun Nov 06 20:17:22 +0000 2022,@clkleinmonaco Christian if we have ceasefire in Ukraine and some sanctions are called back - what would you expect for oil? thanks
1589351252449964032,Sun Nov 06 20:17:21 +0000 2022,"@BidensWins By 'radical', you mean ending the reckless spending, stop shipping billions to Ukraine, stop complaining about what Musk is doing his money and start looking out for what is being done with OUR money..."
1589351245705543680,Sun Nov 06 20:17:20 +0000 2022,@ElenaGrin6 @Krystyn31197823 Really from Ukraine ?
1589351242337505280,Sun Nov 06 20:17:19 +0000 2022,"@DefenceHQ Please arrange negotiations for peace talks between Russia and Ukraine.
This slaughter has gone on long enough and we all know that NEGOTIATIONS are required to stop the killing and save more lives.
Please stop prolonging war and start promoting peacetalks."
1589351240689143809,Sun Nov 06 20:17:19 +0000 2022,"@washingtonpost Just like we made Ukraine sign the Minsk agreements to deceive the world they wanted peace while training a Ukranian army to attack Russia. Neocons are really wicked, sending Ukrainians to the slaughter &amp; destroying their country because neocons want control of Russia's resources"
1589351238319353859,Sun Nov 06 20:17:18 +0000 2022,"@AgainstRevisio1 How it's possible that Republicans openly declares they'll stop aiding Ukraine. Another Russian victim, and a country fighting for us all. I allways believed Republicans are especially determined to not let evil triumph, even if that takes unpopular steps."
1589351238277160963,Sun Nov 06 20:17:18 +0000 2022,🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈Rise fuelled by Russia-Ukraine tensions and concern that higher US rates could slow growth
1589351237950271488,Sun Nov 06 20:17:18 +0000 2022,@MariMoraes21 @VcfCommunism Ukraine hás Nazi's in their army... The meme its still correct.
1589351236947824640,Sun Nov 06 20:17:18 +0000 2022,"@dogmom1952 @LogKa11 Yeah, we're well aware of your ""Celebrated"" Azov Nazis, Right Sector and Patriot of Ukraine (National Corps) and S14. 
Terrorist organizations backed by the Ukrainian State. 
You fucking shill for US Empire"
1589351235844538369,Sun Nov 06 20:17:18 +0000 2022,Raw material prices surge as pandemic supply disruptions are compounded by war in Ukraine
1589351215707881473,Sun Nov 06 20:17:13 +0000 2022,@newsmax Maybe trying to cover up your sons illegal dealings with Ukraine and China. But hey you know nothing about that do you?
1589351206987911168,Sun Nov 06 20:17:11 +0000 2022,"In #Russia, president Putin claimed that the ""partial mobilisation"" declared on 21 September had resulted in mobilising some 318,000 troops, out of which 49,000 had already been deployed to #Ukraine:

https://t.co/fjVnVKiVRk"
1589351204160942082,Sun Nov 06 20:17:10 +0000 2022,@KlimaUnser @WeirdGold1 So are we. Russia needs to leave Ukraine. Then the war will be over. Simple.
1589351193847140352,Sun Nov 06 20:17:07 +0000 2022,"We see countries find out in ONE DAY who wins. Yet, we can't? Just remember it took FEMA/Coast Guard nearly 2 wks to get us food and water after Hur. Katrina, but Ukraine has wifi, resources, and shelter, artillery on our dime 🤬 https://t.co/75OKDtVH0Z"
